,Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
48,bandiagara,ml,14.3505,-3.6113,81.79,63.0,100.0,11.18
51,albany,au,-35.0248,117.8836,50.07,81.0,86.0,2.75
55,margate,za,-30.8636,30.3705,50.32,91.0,0.0,7.81
56,avarua,ck,-21.2078,-159.775,74.59,84.0,100.0,12.82
57,puerto ayora,ec,-0.7394,-90.3518,74.19,67.0,49.0,6.06
60,kachug,ru,53.9608,105.8851,33.69,94.0,78.0,5.68
61,catumbela,ao,-12.4314,13.5472,68.32,90.0,14.0,2.77
62,catuday,ph,16.2923,119.8062,82.65,82.0,100.0,21.3
64,plettenberg bay,za,-34.0528,23.3716,74.84,27.0,0.0,6.49
66,bredasdorp,za,-34.5331,20.0428,65.48,34.0,0.0,4.63
69,new norfolk,au,-42.7802,147.0615,36.12,97.0,99.0,2.59
70,saskylakh,ru,71.965,114.0939,49.39,91.0,100.0,16.37
72,havelock,us,34.8785,-76.9015,86.23,53.0,15.0,5.44
73,kalaleh,ir,37.3803,55.4899,73.71,60.0,0.0,12.26
74,bluff,nz,-46.6,168.3333,41.63,62.0,78.0,13.15
75,kaitangata,nz,-46.2818,169.8464,42.78,66.0,94.0,3.85
77,port hedland,au,-20.3112,118.5801,55.22,83.0,26.0,3.49
79,castro,cl,-42.4824,-73.7644,46.33,93.0,90.0,3.94
80,shingu,jp,33.7241,135.993,68.22,98.0,33.0,4.45
82,sterling,us,39.0016,-77.4033,81.39,50.0,37.0,3.71
83,lagoa,pt,37.1363,-8.4541,71.1,84.0,0.0,3.15
84,pangkalanbuun,id,-2.6834,111.6167,71.2,98.0,80.0,2.37
87,nikolskoye,ru,59.7035,30.7861,50.79,94.0,87.0,4.5
88,lanzhou,cn,36.0593,103.8239,57.27,60.0,12.0,1.97
91,lavrentiya,ru,65.5842,-170.989,46.69,97.0,100.0,6.46
92,butaritari,ki,3.0707,172.7902,84.63,61.0,67.0,5.39
93,sao joao da barra,br,-21.6403,-41.0512,68.54,74.0,100.0,8.86
95,marsh harbour,bs,26.5383,-77.0611,84.2,77.0,5.0,8.75
96,hobart,au,-42.8826,147.3281,36.1,97.0,99.0,2.59
97,cape town,za,-33.929,18.4174,68.47,57.0,0.0,5.17
98,kalmar,se,56.6616,16.3616,53.26,90.0,100.0,3.83
101,jamestown,sh,-15.9388,-5.7168,67.28,75.0,100.0,15.48
103,souillac,mu,-20.5167,57.5167,71.6,80.0,39.0,15.97
104,portland,au,-33.3484,149.9844,40.24,77.0,72.0,22.1
106,okhotsk,ru,59.3644,143.2411,47.8,51.0,2.0,10.27
107,amboise,fr,47.411,0.9837,49.8,75.0,2.0,8.72
108,praia da vitoria,pt,38.7333,-27.0667,67.68,74.0,1.0,14.03
110,chokurdakh,ru,70.6192,147.9022,40.06,88.0,100.0,7.29
116,longyearbyen,sj,78.2186,15.6401,35.46,80.0,100.0,19.39
117,mar del plata,ar,-46.4276,-67.5191,52.12,42.0,27.0,11.23
118,padang,id,-0.9248,100.3633,79.81,84.0,98.0,14.54
122,tiksi,ru,71.6366,128.8685,37.11,87.0,100.0,5.73
123,kolpashevo,ru,58.3137,82.9036,41.76,83.0,0.0,5.77
124,atar,mr,20.5183,-13.0544,91.0,27.0,14.0,9.08
125,hofn,is,64.2539,-15.2082,40.78,99.0,100.0,6.87
128,makakilo city,us,21.3469,-158.0859,86.95,68.0,74.0,15.35
129,sioux lookout,ca,50.1001,-91.9191,54.61,63.0,100.0,4.59
132,rawson,ar,-43.2992,-65.1057,54.93,38.0,5.0,11.05
134,talalayivka,ua,50.9578,31.9209,58.46,87.0,20.0,7.23
135,namatanai,pg,-3.6642,152.4407,77.22,81.0,100.0,16.15
136,vestmannaeyjar,is,63.4427,-20.2734,50.79,97.0,100.0,10.4
143,maragogi,br,-9.0119,-35.2226,62.82,87.0,34.0,4.99
145,mahebourg,mu,-20.4081,57.7,71.56,80.0,39.0,15.97
146,dikson,ru,73.5069,80.5464,41.83,98.0,100.0,19.04
149,arraial do cabo,br,-22.9663,-42.0245,69.33,81.0,20.0,25.28
151,saint-francois,gp,16.2526,-61.2742,85.82,70.0,10.0,8.66
154,bambous virieux,mu,-20.3428,57.7575,71.64,80.0,39.0,15.97
155,tilichiki,ru,60.4667,166.1,48.92,85.0,100.0,3.4
156,umm lajj,sa,25.024,37.2669,85.57,70.0,33.0,15.35
164,pisco,pe,-13.71,-76.203,65.79,87.0,0.0,20.74
165,aloleng,ph,16.1307,119.7824,81.86,82.0,100.0,18.84
169,constantine,dz,36.3645,6.6083,62.56,73.0,100.0,3.87
175,sur,om,22.5702,59.5299,86.94,48.0,28.0,9.73
180,bol,td,13.4678,14.7173,84.02,60.0,81.0,4.12
181,mambolo,sl,8.9202,-13.037,78.4,85.0,100.0,7.02
182,southaven,us,34.989,-90.0126,89.56,68.0,11.0,6.29
184,barrow,us,39.5062,-90.4016,79.93,50.0,0.0,0.45
188,hermanus,za,-34.4176,19.2361,65.52,51.0,0.0,6.53
191,norman wells,ca,65.2824,-126.8328,64.47,58.0,0.0,7.92
192,hithadhoo,mv,-0.6,73.0833,81.57,80.0,99.0,12.24
193,martyush,ru,56.3992,61.8856,45.03,94.0,11.0,5.82
201,komsomolskiy,ru,67.5537,63.776,46.15,96.0,85.0,8.77
202,brae,gb,60.3964,-1.353,47.08,71.0,68.0,5.23
204,thompson,ca,55.7433,-97.8635,62.49,44.0,70.0,3.98
208,kirakira,sb,-10.4569,161.9202,79.74,82.0,17.0,4.65
209,port lincoln,au,-34.7212,135.8592,56.59,75.0,87.0,24.14
211,carnarvon,au,-24.8667,113.6333,63.0,61.0,0.0,13.04
212,lorengau,pg,-2.0226,147.2712,78.98,84.0,98.0,10.8
213,ilulissat,gl,69.2167,-51.1,42.37,72.0,0.0,4.68
216,valladolid,es,41.6521,-4.7286,51.04,60.0,0.0,21.85
218,nizhniy odes,ru,63.6445,54.856,47.12,95.0,1.0,4.0
220,vavuniya,lk,8.7594,80.5001,79.27,76.0,82.0,9.33
223,skegness,gb,53.1436,0.3363,49.26,78.0,44.0,10.69
224,cherskiy,ru,68.75,161.3,39.13,83.0,100.0,13.2
227,cidreira,br,-30.1658,-50.2184,66.7,83.0,72.0,12.8
228,saint-philippe,re,-21.3586,55.7679,67.03,80.0,92.0,25.05
229,faanui,pf,-16.4834,-151.75,75.02,69.0,94.0,18.03
230,kahului,us,20.8894,-156.4728,81.81,72.0,100.0,24.79
233,namibe,ao,-15.1902,12.1531,64.94,90.0,95.0,12.68
234,stokmarknes,no,68.5646,14.9108,44.06,62.0,1.0,4.65
239,victoria,sc,-4.6167,55.45,78.76,84.0,74.0,19.51
240,iranshahr,ir,27.207,60.6883,91.11,13.0,61.0,13.11
241,terrace,ca,54.5211,-128.6101,71.76,70.0,98.0,3.02
242,hermon,us,44.4674,-75.2306,64.36,86.0,64.0,5.3
244,cotonou,bj,6.3677,2.4252,75.92,84.0,0.0,6.35
245,puerto madero,mx,14.7208,-92.4215,89.46,63.0,13.0,6.89
248,ahipara,nz,-35.1665,173.1562,59.56,82.0,0.0,18.7
250,pacific grove,us,36.6174,-121.9156,69.64,88.0,100.0,9.1
251,tsumeb,na,-19.2492,17.7162,66.38,24.0,0.0,16.62
254,port elizabeth,za,-33.918,25.5701,66.6,55.0,0.0,8.1
256,yong peng,my,2.0111,103.0666,72.07,90.0,94.0,2.62
258,fallon,us,46.8369,-105.1232,49.78,87.0,100.0,22.93
259,marawi,sd,18.4833,31.8167,95.07,14.0,0.0,15.05
268,north platte,us,41.1239,-100.7655,90.79,28.0,90.0,13.98
269,ribeira grande,pt,38.5167,-28.7001,69.4,71.0,67.0,14.43
271,cabo san lucas,mx,22.8938,-109.9112,83.66,66.0,54.0,10.85
273,itaituba,br,-4.2626,-55.9879,75.34,76.0,78.0,0.96
277,tocopilla,cl,-22.092,-70.198,58.6,82.0,78.0,13.85
278,kodiak,us,39.9519,-94.7572,81.0,67.0,100.0,8.63
281,west bay,ky,19.3667,-81.4167,88.63,77.0,49.0,12.41
283,la paz,mx,24.1488,-110.3236,93.63,48.0,46.0,11.23
284,sao filipe,cv,14.8961,-24.4956,80.96,81.0,24.0,6.82
285,nagai,jp,38.1371,139.9803,75.24,74.0,1.0,3.94
287,pangai,to,-19.8,-174.3501,71.06,68.0,23.0,15.95
292,rtishchevo,ru,52.2599,43.7879,52.48,69.0,87.0,4.47
295,havre-saint-pierre,ca,50.2334,-63.5987,51.44,55.0,100.0,8.25
298,kannangad,in,12.3081,75.1063,76.64,90.0,100.0,9.6
300,skjervoy,no,70.0311,20.9714,48.45,70.0,0.0,2.35
301,diamantino,br,-14.4037,-56.4365,95.86,12.0,38.0,9.44
303,porbandar,in,21.6422,69.6093,82.94,85.0,100.0,13.67
305,alcudia,es,39.8532,3.1214,71.56,64.0,0.0,11.77
306,east london,za,-33.0153,27.9116,65.08,54.0,0.0,6.33
308,juneau,us,58.3019,-134.4198,61.48,83.0,0.0,2.42
310,kaa-khem,ru,51.6965,94.5637,41.61,44.0,100.0,5.26
312,zyryanka,ru,65.7336,150.8933,50.25,59.0,2.0,3.13
313,kurilsk,ru,45.2333,147.8833,62.06,94.0,100.0,11.92
314,manono,cd,-7.2982,27.3965,68.94,22.0,25.0,6.22
315,kyabram,au,-36.3132,145.0481,48.2,90.0,75.0,7.45
317,salinopolis,br,-0.6137,-47.3562,80.24,79.0,68.0,16.44
319,walvis bay,na,-22.9544,14.5075,56.59,88.0,0.0,3.58
320,bethel,us,60.7922,-161.7559,56.34,70.0,71.0,25.59
327,adrar,dz,27.8734,-0.2875,83.19,27.0,0.0,7.76
329,jacqueville,ci,5.2077,-4.4196,78.04,91.0,66.0,12.1
334,constitucion,mx,23.9912,-104.675,71.8,59.0,14.0,8.41
335,hami,cn,42.8354,93.5128,67.06,33.0,96.0,9.42
336,harlingen,nl,53.1752,5.4142,55.62,72.0,66.0,22.95
340,cleveland,us,41.5052,-81.6935,70.9,73.0,93.0,11.01
343,carutapera,br,-1.2017,-46.0206,73.8,90.0,100.0,5.53
344,mount pleasant,us,32.7941,-79.8626,92.5,34.0,0.0,6.11
346,rio gallegos,ar,-51.6227,-69.2182,50.43,56.0,90.0,15.21
347,lastoursville,ga,-0.8103,12.7311,73.29,90.0,96.0,3.78
349,mogadishu,so,2.0428,45.3386,77.4,80.0,0.0,15.55
352,gamba,ga,-2.7243,10.02,75.13,82.0,100.0,9.4
354,dergachi,ru,51.2354,48.7686,54.0,62.0,0.0,7.09
358,georgetown,sh,-7.9334,-14.4167,72.86,78.0,93.0,16.49
360,pevek,ru,69.7028,170.2747,38.01,92.0,100.0,13.8
362,touros,br,-5.1989,-35.4609,78.62,80.0,54.0,25.52
363,kirya,ru,55.081,46.8609,50.65,75.0,100.0,3.31
364,erfurt,de,50.9778,11.0287,51.13,87.0,99.0,2.77
365,canton,us,40.799,-81.3785,70.99,66.0,37.0,10.89
369,dafeng,cn,33.202,120.4565,67.6,88.0,0.0,2.28
373,dom pedrito,br,-30.9838,-54.6747,67.57,88.0,100.0,5.7
374,benito juarez,mx,28.6428,-111.5695,87.94,75.0,91.0,4.59
377,quelimane,mz,-17.8776,36.8902,67.03,79.0,87.0,5.57
379,labytnangi,ru,66.6596,66.3862,50.25,92.0,29.0,3.89
382,naryan-mar,ru,67.6713,53.087,49.39,83.0,21.0,18.32
383,bilibino,ru,68.055,166.4449,44.96,82.0,95.0,3.31
385,dillon,us,45.2164,-112.6379,67.1,50.0,98.0,1.88
386,sibu,my,2.2907,111.8263,76.71,91.0,100.0,0.81
388,chuy,uy,-33.6938,-53.4562,60.8,97.0,100.0,2.77
390,taltal,cl,-25.408,-70.4859,57.85,56.0,93.0,3.56
392,nuevitas,cu,21.546,-77.2691,85.86,66.0,40.0,12.82
393,palana,ru,59.0828,159.9513,49.39,94.0,100.0,12.06
395,tangshan,cn,39.6297,118.1739,67.1,56.0,29.0,1.72
397,cumpas,mx,29.9969,-109.7804,85.46,61.0,95.0,6.06
399,pyaozerskiy,ru,65.8333,31.1667,49.42,80.0,100.0,8.21
400,cinnaminson,us,39.9968,-74.9927,77.79,36.0,0.0,11.34
402,xicotencatl,mx,23.0167,-98.8834,95.83,48.0,0.0,4.43
405,isangel,vu,-19.55,169.2667,70.27,63.0,4.0,6.38
410,torbay,ca,47.6577,-52.727,55.69,73.0,100.0,22.3
412,poddorye,ru,57.4695,31.1156,49.86,80.0,69.0,4.43
414,nome,us,30.0358,-94.4244,95.02,49.0,0.0,4.83
415,ayr,au,-19.5759,147.4045,53.74,23.0,0.0,5.99
416,narsaq,gl,60.9127,-46.0453,48.6,58.0,79.0,19.53
418,leningradskiy,ru,69.3833,178.4167,46.54,75.0,0.0,7.4
420,alugan,ph,12.2188,125.4808,77.43,93.0,100.0,4.38
423,paita,pe,-5.0851,-81.1138,63.03,91.0,55.0,14.0
427,esmeraldas,ec,-1.8676,-79.7994,86.65,33.0,5.0,8.88
429,buraydah,sa,26.3317,43.9717,87.04,17.0,100.0,10.04
432,pandan niog,ph,6.2282,120.5631,82.62,82.0,0.0,10.04
433,mandera,ke,3.9366,41.867,76.21,44.0,99.0,20.33
437,lingao,cn,19.9103,109.6859,80.64,83.0,5.0,5.35
440,port-cartier,ca,50.0257,-66.8819,50.7,72.0,100.0,11.14
441,fortuna,us,40.5974,-124.1561,65.59,92.0,17.0,10.07
442,ponta do sol,cv,17.1994,-25.092,81.28,90.0,77.0,14.74
444,mersing,my,2.4276,103.8364,71.35,95.0,76.0,1.68
448,opuwo,na,-18.0559,13.8371,52.56,49.0,21.0,2.86
450,oleksandrivka,ua,48.7441,37.4852,60.51,48.0,0.0,7.61
453,verkhnyaya inta,ru,65.9884,60.3234,51.98,95.0,92.0,8.59
455,taoudenni,ml,22.6783,-3.9837,90.57,23.0,69.0,19.22
457,pangody,ru,65.85,74.4859,49.96,84.0,0.0,14.03
460,geraldton,au,-28.7667,114.6,49.03,66.0,0.0,17.87
462,gao,ml,16.2788,-0.0413,94.75,33.0,100.0,6.93
463,mochicahui,mx,25.9493,-108.9285,94.26,54.0,55.0,4.61
464,yangambi,cd,0.7658,24.4734,68.79,89.0,67.0,1.23
475,wangou,cn,42.0623,126.9127,60.62,96.0,100.0,8.59
477,pasighat,in,28.0594,95.3326,68.14,97.0,98.0,2.24
479,marienburg,sr,5.8781,-55.0445,83.17,76.0,1.0,17.02
486,marck,fr,50.949,1.952,54.54,72.0,3.0,22.64
488,lompoc,us,34.6392,-120.458,73.9,68.0,0.0,19.57
489,gusau,ng,12.1658,6.6606,73.04,88.0,100.0,4.79
493,fort nelson,ca,58.8063,-122.694,61.2,56.0,30.0,2.01
496,turinsk,ru,58.0415,63.6976,46.22,91.0,72.0,3.89
497,rocha,uy,-34.4811,-54.3366,56.66,96.0,100.0,5.73
500,ambilobe,mg,-13.1945,49.05,75.56,57.0,100.0,9.57
501,coahuayana,mx,18.6201,-100.3453,90.9,63.0,26.0,1.7
508,nenjiang,cn,49.1735,125.2312,62.49,96.0,100.0,6.44
511,tuktoyaktuk,ca,69.444,-133.032,61.77,70.0,0.0,10.36
512,opole lubelskie,pl,51.1475,21.9664,61.56,90.0,100.0,2.75
518,aklavik,ca,68.2183,-135.0136,67.66,51.0,19.0,9.57
519,wanning,cn,18.8003,110.3967,73.04,96.0,5.0,1.83
522,san cristobal,ec,-1.0243,-79.4413,92.59,39.0,5.0,5.48
530,saint-pierre,re,-21.3394,55.4781,66.67,79.0,79.0,29.71
531,lebu,cl,-37.6167,-73.6501,51.3,76.0,1.0,14.0
532,anadyr,ru,64.7317,177.5061,54.45,64.0,100.0,5.77
533,gillette,us,44.2906,-105.5019,59.25,52.0,69.0,31.34
537,buenos aires,cr,9.1721,-83.3327,67.89,97.0,100.0,2.24
538,honiara,sb,-9.4313,159.9553,76.64,83.0,100.0,19.73
539,huangpi,cn,30.8846,114.3701,72.03,68.0,0.0,6.46
542,kulhudhuffushi,mv,6.6221,73.07,82.83,80.0,92.0,11.7
543,ternate,id,0.8,127.4,80.49,82.0,100.0,17.18
548,semey,kz,50.405,80.2492,52.88,51.0,70.0,9.1
549,saltillo,mx,25.4193,-100.9946,80.1,49.0,3.0,10.6
555,merauke,id,-8.4903,140.3956,73.83,79.0,4.0,17.72
560,huarmey,pe,-10.0688,-78.1522,60.62,90.0,0.0,16.22
571,peniche,pt,39.3566,-9.3813,68.99,72.0,0.0,13.67
574,caravelas,br,-17.7297,-39.2661,69.69,78.0,69.0,10.74
578,shieli,kz,44.176,66.741,56.7,41.0,29.0,5.41
589,henties bay,na,-22.1161,14.2845,57.61,92.0,0.0,3.09
596,apatou,gf,5.155,-54.3473,84.38,59.0,57.0,3.83
597,aguimes,es,27.9054,-15.4461,67.71,83.0,100.0,10.09
598,vilhena,br,-12.7369,-60.1466,90.07,26.0,78.0,5.19
602,batagay-alyta,ru,67.8006,130.4114,32.4,91.0,100.0,4.03
604,portsmouth,us,36.8354,-76.2983,81.75,55.0,66.0,2.33
616,nouadhibou,mr,20.931,-17.0347,72.43,86.0,1.0,21.54
621,keuruu,fi,62.258,24.7084,51.48,96.0,95.0,8.88
625,lipin bor,ru,60.2622,37.9714,47.88,89.0,25.0,2.55
630,korla,cn,41.7597,86.1469,54.93,60.0,0.0,2.59
633,wanganui,nz,-39.9334,175.05,45.45,81.0,100.0,7.29
636,tura,ru,64.2742,100.217,42.62,85.0,4.0,3.76
638,provideniya,ru,64.4238,-173.2276,49.1,87.0,100.0,7.87
645,port pirie,au,-33.1792,138.0059,48.45,76.0,42.0,11.05
650,villa sandino,ni,12.0481,-84.9929,88.45,86.0,100.0,8.86
652,grand gaube,mu,-20.0064,57.6608,71.87,76.0,10.0,17.49
657,iqaluit,ca,63.7494,-68.5219,46.36,56.0,100.0,14.14
658,hornepayne,ca,49.2167,-84.7834,53.78,58.0,98.0,9.19
660,anisoc,gq,1.8658,10.7689,67.71,99.0,72.0,2.1
661,kruisfontein,za,-34.0034,24.7314,69.26,40.0,0.0,5.97
666,timra,se,62.487,17.3257,49.15,96.0,100.0,5.59
668,westlock,ca,54.1525,-113.852,74.01,58.0,99.0,3.04
669,urengoy,ru,65.9642,78.368,49.71,87.0,10.0,10.58
670,luderitz,na,-26.6481,15.1594,56.98,74.0,0.0,3.36
671,kiruna,se,67.8551,20.2255,33.3,82.0,0.0,0.92
672,sorland,no,67.667,12.6934,48.67,69.0,0.0,9.37
673,kintampo,gh,8.0537,-1.729,72.21,91.0,80.0,3.36
674,rajo khanani,pk,24.9841,68.8536,83.05,77.0,100.0,13.49
678,takoradi,gh,4.8874,-1.752,72.57,94.0,46.0,5.77
680,kudahuvadhoo,mv,2.6708,72.8944,82.44,72.0,99.0,4.03
683,luanda,ao,-8.8272,13.2437,72.5,91.0,43.0,14.99
687,challans,fr,46.8479,-1.8774,52.45,66.0,0.0,13.0
692,teguise,es,29.0605,-13.564,74.77,79.0,100.0,13.13
694,inongo,cd,-1.9254,18.2864,72.72,90.0,94.0,1.01
695,severo-kurilsk,ru,50.6789,156.125,50.32,96.0,100.0,20.33
696,riohacha,co,11.5446,-72.907,85.75,73.0,22.0,8.48
701,beira,mz,-19.8437,34.8389,64.08,54.0,17.0,8.14
706,the valley,ai,18.217,-63.0579,83.84,73.0,100.0,8.34
708,nisia floresta,br,-6.0912,-35.2087,71.35,77.0,46.0,12.75
710,baykit,ru,61.6784,96.3854,48.42,81.0,100.0,2.55
712,sidrolandia,br,-20.932,-54.9614,89.96,13.0,64.0,6.06
717,sambava,mg,-14.2667,50.1667,68.32,72.0,96.0,2.89
718,tres arroyos,ar,-38.3771,-60.2754,47.8,92.0,100.0,9.8
723,haines junction,ca,60.7527,-137.5101,64.83,41.0,24.0,7.83
727,les escoumins,ca,48.3462,-69.4041,46.44,86.0,100.0,7.56
729,zaraza,ve,9.3503,-65.325,85.03,77.0,4.0,2.77
730,mayo,ca,63.5927,-135.8962,66.52,42.0,100.0,1.63
731,whitehorse,ca,60.7216,-135.055,70.2,42.0,0.0,6.42
736,mackay,au,-21.15,149.2,56.91,41.0,0.0,5.82
740,padrauna,in,26.9036,83.9793,78.73,83.0,0.0,7.67
742,turukhansk,ru,65.7954,87.9608,48.24,87.0,91.0,7.83
743,nueva imperial,cl,-38.7454,-72.952,52.63,74.0,72.0,0.72
748,yongan,cn,39.6957,113.6871,58.78,59.0,0.0,2.1
752,mount gambier,au,-37.8302,140.7843,48.27,81.0,94.0,27.29
756,katsuura,jp,33.9258,134.505,76.53,90.0,0.0,3.85
758,batouri,cm,4.4358,14.3646,66.6,96.0,92.0,2.98
766,pemba,mz,-12.9733,40.5221,70.48,67.0,0.0,21.5
769,srivardhan,in,18.0333,73.0167,80.28,88.0,100.0,18.43
771,half moon bay,us,37.4636,-122.4286,67.17,84.0,100.0,8.43
774,yerofey pavlovich,ru,53.9667,121.9667,43.74,97.0,95.0,4.03
776,wamba,cd,2.1435,27.9939,64.8,98.0,74.0,1.74
779,manggar,id,-2.8834,108.2667,72.21,97.0,58.0,3.22
780,saldanha,za,-33.0117,17.9442,67.68,60.0,0.0,10.78
783,tazmalt,dz,36.3879,4.3993,66.88,91.0,100.0,7.31
784,dingle,ie,52.1408,-10.2689,57.42,78.0,22.0,3.2
789,guerrero negro,mx,27.971,-114.0364,72.72,84.0,4.0,12.59
793,lerwick,gb,60.1545,-1.1495,47.08,71.0,68.0,5.23
794,kununurra,au,-15.7731,128.7388,63.21,75.0,0.0,4.43
795,san javier,bo,-16.274,-62.5045,95.11,21.0,74.0,8.3
799,la asuncion,ve,11.0333,-63.8628,87.04,68.0,10.0,6.8
803,san vicente,ph,14.1065,122.8733,75.56,94.0,100.0,2.19
805,ossora,ru,59.2353,163.0719,53.71,93.0,99.0,2.62
806,xingyi,cn,24.1877,102.817,59.04,98.0,100.0,3.31
812,kampot,kh,10.6183,104.1797,79.34,80.0,100.0,9.35
815,santa isabel do rio negro,br,-0.4145,-65.0168,81.0,65.0,78.0,2.53
817,hovd,mn,48.0056,91.6419,43.2,58.0,6.0,3.31
820,san patricio,mx,19.223,-104.6989,90.28,57.0,62.0,6.93
827,clyde river,ca,70.4692,-68.5915,41.43,67.0,92.0,8.34
830,orchard homes,us,46.8633,-114.0485,78.89,31.0,1.0,1.3
837,nurota,uz,40.5614,65.6886,59.25,30.0,13.0,14.99
838,zhigansk,ru,66.7656,123.3741,33.3,90.0,2.0,8.75
847,ketchikan,us,55.3422,-131.6462,63.16,82.0,100.0,4.92
852,riga,lv,56.9494,24.1052,55.6,68.0,99.0,9.53
855,wanaka,nz,-44.6972,169.1364,38.34,81.0,85.0,3.83
856,ulaangom,mn,49.98,92.0689,48.92,67.0,23.0,4.97
861,rio claro,tt,10.3064,-61.1751,86.54,70.0,100.0,4.43
869,cockburn town,tc,21.4612,-71.1419,85.78,75.0,100.0,14.5
870,cacequi,br,-29.8839,-54.8274,72.54,79.0,85.0,1.57
872,curuca,br,-2.5229,-61.0606,84.96,51.0,95.0,3.04
877,terra roxa,br,-20.7871,-48.3315,84.74,37.0,60.0,2.35
884,ust-tsilma,ru,65.441,52.1498,44.24,96.0,1.0,4.32
887,jamsa,fi,61.8642,25.19,51.3,96.0,100.0,5.95
892,muli,mv,2.9167,73.5667,82.04,72.0,92.0,3.76
897,kiunga,pg,-6.116,141.2982,66.52,99.0,86.0,2.48
902,siuna,ni,13.7341,-84.778,77.04,77.0,55.0,5.03
903,samarkand,uz,39.6548,66.9758,58.6,27.0,89.0,12.35
905,san jose,ph,15.7917,120.9891,75.63,92.0,100.0,2.37
908,buluang,ph,10.4667,123.9833,81.86,76.0,10.0,7.67
918,hasaki,jp,35.7333,140.8333,74.82,88.0,3.0,3.78
922,magadan,ru,59.5605,150.7989,47.52,63.0,0.0,12.46
923,solnechnyy,ru,50.7238,136.6401,59.4,98.0,100.0,1.68
926,tuatapere,nz,-46.1324,167.6908,42.1,64.0,58.0,16.22
934,amapa,br,-1.8297,-56.2258,90.72,37.0,50.0,3.24
942,kaeo,nz,-35.1018,173.7751,61.99,83.0,0.0,12.08
944,marsa matruh,eg,31.3525,27.2453,78.66,79.0,0.0,12.35
949,hirara,jp,24.8,125.2833,82.94,74.0,98.0,5.84
953,pochutla,mx,15.7432,-96.4661,83.05,84.0,30.0,3.36
954,ust-nera,ru,64.5664,143.2378,38.23,76.0,100.0,4.65
957,gravdal,no,59.7913,5.7785,49.82,74.0,0.0,11.14
963,guatire,ve,10.4726,-66.538,83.52,64.0,0.0,3.65
967,camabatela,ao,-8.1872,15.3739,69.3,88.0,100.0,2.66
969,leh,in,34.1642,77.5848,39.7,48.0,0.0,8.05
970,port hardy,ca,50.6996,-127.4199,56.23,84.0,100.0,6.04
971,martapura,id,-3.4055,114.8478,72.93,91.0,0.0,2.55
973,jalu,ly,29.0331,21.5482,73.62,49.0,0.0,11.52
977,coquimbo,cl,-29.9532,-71.3381,59.04,78.0,23.0,20.38
980,kapit,my,2.0165,112.9399,73.98,99.0,100.0,0.09
986,kunming,cn,25.0438,102.7143,63.09,94.0,100.0,2.24
